prompt,target,ngram,seq2seq,gpt2,t5
"mean, queen
Joke:",Did you hear about the mean queen? She was so mean her crown filed a restraining order against her.,mean queen <s> -,What do you mean queen? My name is confused. That's what my responsibilities are. Consisting of chaos and disappointment.,"Mean queen, what do you mean? I asked, 'How long will it take?' She replied, 'You'll wait. We're not done yet.'","I mean queen... I said, 'You have to be a resentment.' He said, ""I'll be a queen."""
"Bomb-Threatened Black Schools Eligible For Security Grants
Joke:",Black schools got bomb threats and now they're eligible for security money. That's America: only help after the terrorism.,bomb-threatened black schools eligible for security grants to raise age for semiautomatic rifles,Black schools need security—and so do the rich.,Black schools—they're eligible for security grants.,It was bomb-throwing Black schools—and students now qualify for security grants.
"really, station
Joke:",I really waited at the station… mostly for drama.,really station with $ 23 million,Are you really the station? Because that station has real-life problems.,"I really wanted to leave, but the station said ‘I’m fine.","I really think a station is a station. I asked, What do you really want? I replied, We all need more than one."
"like, supreme
Joke:","I’d like to feel supreme too, but my bank account keeps voting against it. ​",like supreme court to block map that adds a black-majority district,I like supreme—my willpower won’t stop.,I like supreme judgment—mostly my sanity.,I like supreme powers—that’s why my mind decides to give me a nap.
"Kate Moss Denies Ex Johnny Depp Pushed Her Down the Stairs
Joke:",Kate denied the stair incident—that testimony came back to haunt him.,kate moss denies ex johnny depp pushed her down the stairs,Kate denied the stair attack—because the stair did not collapse.,Kate denied her ex—and said he wasn't afraid of her.,Kate denied a showmate was being resisted—because the movie had the same reputation.
"good, passenger
Joke:",That's good—passenger here. Not driving. Surrendering control.,good passenger -,Good passenger. Very nice personality. Very polite and thorough. Very good driver.,That's good—everyone laughs. He’s still in the passenger seat.,I feel good about the passenger and my thoughts look familiar.
"Samantha Bee Stunned By 'Gossipy Little Bitch' Mark Meadows' Text Messages
Joke:",Samantha read Meadows' texts—and couldn't believe a government official was texting like a scorned ex.,samantha bee stunned by 'gossipy little bitch ' mark meadows ' text messages,Samantha got the texts—because Meadows got emotional.,"Samantha Bee tried to chill out Meadows—that's the kind of girl who's basically calling people like ""snacks"" and ""bitch.""",Samantha was surprised when Meadows' text message got too ill.
"everything, german
Joke:",Everything German tastes better with chocolate.,everything german -,Everything German is good—except the fries.,Everything German tastes like a snack. Very German in flavor.,"Everything German, and if so, my mind will come with a smile."
"safe, work
Joke:","It's safe to say work is not my personality, just my paycheck. ​",safe work ' remark was 'taken out of context ',"Where are you safe—work? My desk. He asked, Safely? I replied, I didn’t think so.",Safe work—my stress is fine.,"I'm safe, work is not my best. I said, I didn't know my productivity was my only goal."
"know, fighter
Joke:",I know a fighter when I see one—usually it's my alarm clock.,know fighter <s> will smith 's slap,I know fighter. He called me a ninja. My confidence evaporated and I became an expert.,"I know fighter, but I also want to fight for the life of me.","I know fighters fought, but they're fighting their emotions."
"right, transportation
Joke:",You’re right—public transportation hates punctuality.,"right transportation mask mandate , days after china building collapse","You’re right, transportation is expensive… especially for people.","You’re right, transportation is fun—especially when your snacks just want to eat at a table. ​",You’re right— Transportation is not the bus.
"come, named
Joke:","Come named streets, may my GPS forgive you.",come named belarus,Come named to the party. Not enough votes. Compliments: good luck.,"Come named, I won't judge.","Come in and be named... he'll be at the same time, but I'm a new mom."
"call, became
Joke:",I made one call and suddenly became the family tech support forever.,call became a guide to life at kyiv war crimes trial,"The call became a conversation. I asked, What became of it? He said, Everything became a problem.","Call became 'em. My friend asked, What happened? I replied, He became confused.","Call, become a joke. I tried. He replied, It was a 'negotiation,' but now it's a big move."
"'Galaxy Gazing Is The New Stargazing': Cosmologists Awed By First Webb Image
Joke:",The Webb telescope showed us galaxies—and now stargazing has a rival.,'galaxy gazing is the new stargazing ' : cosmologists awed by first webb image method acting is possible without 'being an asshole ',"Astronomers are excited about Webb's ability to find hidden galaxies—that was always going to take years, years, and probably a billion stars.","Webb showed a dramatic new Stargazing telescope—that's not a telescope we expect, that's a projection of what life could be like with it.","The Webb's denying that the ""gazing"" is the new stargazing."
"well, engineer
Joke:",How well does engineer work? They built this. Evidence speaks volumes.,well engineer on leave after he claims ai program has gone sentient,"How well engineer is my procrastination? I asked, Well—it's a skill. He replied, It makes me feel like a genius.","I did well—but engineer said, 'No, your nap is not great.'","Well, engineer, and everything. I asked, What is he going to do? I replied, Why? He replied, Thank you!"
"Democrats' Reconciliation Package The 'Biggest Climate Action In Human History'
Joke:",They're calling it historic—let's see if it actually survives Republican assault.,democrats ' reconciliation package the 'biggest climate action in human history ',Democrats tried to'reconcile' the package but it fell by the wayside.,Democrats' Reconciliation package is bigger than the economy—it's a tax break for billionaires.,Democrats' reconciliation package is more likely than a change a year ago.
